sample_id,raw_image,final_image,recognition_screenshot,processed_dir,expected_plate,recognized_plate,province,city_letter,tail,condition,detected,format_valid,province_correct,overall_correct,avg_confidence,bbox,elapsed_ms,error_type,generation_params
PL057,UserShow/PerfectData/raw_generated_plates/plate_057_皖RR4HW9_bright.png,UserShow/PerfectData/final_plate_images/plate_057_result.png,UserShow/PerfectData/recognition_screenshots/plate_057_recognition.png,UserShow/PerfectData/processed_steps/PL057,皖RR4HW9,皖RR4HW9,皖,R,R4HW9,bright,True,True,True,True,0.9577,"[240, 292, 520, 150]",47.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL058,UserShow/PerfectData/raw_generated_plates/plate_058_闽Y2FU7L_bright.png,UserShow/PerfectData/final_plate_images/plate_058_result.png,UserShow/PerfectData/recognition_screenshots/plate_058_recognition.png,UserShow/PerfectData/processed_steps/PL058,闽Y2FU7L,闽Y2FU7L,闽,Y,2FU7L,bright,True,True,True,True,0.9714,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL059,UserShow/PerfectData/raw_generated_plates/plate_059_赣FDS5JX_bright.png,UserShow/PerfectData/final_plate_images/plate_059_result.png,UserShow/PerfectData/recognition_screenshots/plate_059_recognition.png,UserShow/PerfectData/processed_steps/PL059,赣FDS5JX,赣FDS5JX,赣,F,DS5JX,bright,True,True,True,True,0.966,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL060,UserShow/PerfectData/raw_generated_plates/plate_060_桂NQ3GV8_bright.png,UserShow/PerfectData/final_plate_images/plate_060_result.png,UserShow/PerfectData/recognition_screenshots/plate_060_recognition.png,UserShow/PerfectData/processed_steps/PL060,桂NQ3GV8,桂NQ3GV8,桂,N,Q3GV8,bright,True,True,True,True,0.9615,"[240, 292, 520, 150]",38.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL061,UserShow/PerfectData/raw_generated_plates/plate_061_琼V1ET6K_bright.png,UserShow/PerfectData/final_plate_images/plate_061_result.png,UserShow/PerfectData/recognition_screenshots/plate_061_recognition.png,UserShow/PerfectData/processed_steps/PL061,琼V1ET6K,琼V1ET6K,琼,V,1ET6K,bright,True,True,True,True,0.9709,"[240, 292, 520, 150]",45.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL062,UserShow/PerfectData/raw_generated_plates/plate_062_贵CCR4HW_bright.png,UserShow/PerfectData/final_plate_images/plate_062_result.png,UserShow/PerfectData/recognition_screenshots/plate_062_recognition.png,UserShow/PerfectData/processed_steps/PL062,贵CCR4HW,贵CCR4HW,贵,C,CR4HW,bright,True,True,True,True,0.9676,"[240, 292, 520, 150]",47.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL063,UserShow/PerfectData/raw_generated_plates/plate_063_云KP2FU7_bright.png,UserShow/PerfectData/final_plate_images/plate_063_result.png,UserShow/PerfectData/recognition_screenshots/plate_063_recognition.png,UserShow/PerfectData/processed_steps/PL063,云KP2FU7,云KP2FU7,云,K,P2FU7,bright,True,True,True,True,0.9724,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL064,UserShow/PerfectData/raw_generated_plates/plate_064_陕S0DS5J_bright.png,UserShow/PerfectData/final_plate_images/plate_064_result.png,UserShow/PerfectData/recognition_screenshots/plate_064_recognition.png,UserShow/PerfectData/processed_steps/PL064,陕S0DS5J,陕S0DS5J,陕,S,0DS5J,bright,True,True,True,True,0.965,"[240, 292, 520, 150]",63.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL065,UserShow/PerfectData/raw_generated_plates/plate_065_甘ZBQ3GV_bright.png,UserShow/PerfectData/final_plate_images/plate_065_result.png,UserShow/PerfectData/recognition_screenshots/plate_065_recognition.png,UserShow/PerfectData/processed_steps/PL065,甘ZBQ3GV,甘ZBQ3GV,甘,Z,BQ3GV,bright,True,True,True,True,0.9638,"[240, 292, 520, 150]",58.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL066,UserShow/PerfectData/raw_generated_plates/plate_066_宁GN1ET6_bright.png,UserShow/PerfectData/final_plate_images/plate_066_result.png,UserShow/PerfectData/recognition_screenshots/plate_066_recognition.png,UserShow/PerfectData/processed_steps/PL066,宁GN1ET6,宁GN1ET6,宁,G,N1ET6,bright,True,True,True,True,0.977,"[240, 292, 520, 150]",47.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL067,UserShow/PerfectData/raw_generated_plates/plate_067_京PZCR4H_bright.png,UserShow/PerfectData/final_plate_images/plate_067_result.png,UserShow/PerfectData/recognition_screenshots/plate_067_recognition.png,UserShow/PerfectData/processed_steps/PL067,京PZCR4H,京PZCR4H,京,P,ZCR4H,bright,True,True,True,True,0.974,"[240, 292, 520, 150]",47.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL068,UserShow/PerfectData/raw_generated_plates/plate_068_沪WAP2FU_bright.png,UserShow/PerfectData/final_plate_images/plate_068_result.png,UserShow/PerfectData/recognition_screenshots/plate_068_recognition.png,UserShow/PerfectData/processed_steps/PL068,沪WAP2FU,沪WAP2FU,沪,W,AP2FU,bright,True,True,True,True,0.9676,"[240, 292, 520, 150]",46.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL069,UserShow/PerfectData/raw_generated_plates/plate_069_粤DM0DS5_bright.png,UserShow/PerfectData/final_plate_images/plate_069_result.png,UserShow/PerfectData/recognition_screenshots/plate_069_recognition.png,UserShow/PerfectData/processed_steps/PL069,粤DM0DS5,粤DM0DS5,粤,D,M0DS5,bright,True,True,True,True,0.9535,"[240, 292, 520, 150]",44.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL070,UserShow/PerfectData/raw_generated_plates/plate_070_苏LYBQ3G_bright.png,UserShow/PerfectData/final_plate_images/plate_070_result.png,UserShow/PerfectData/recognition_screenshots/plate_070_recognition.png,UserShow/PerfectData/processed_steps/PL070,苏LYBQ3G,苏LYBQ3G,苏,L,YBQ3G,bright,True,True,True,True,0.9688,"[240, 292, 520, 150]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""bright"", ""style"": ""standard_blue""}"
PL071,UserShow/PerfectData/raw_generated_plates/plate_071_浙T9N1ET_low_light.png,UserShow/PerfectData/final_plate_images/plate_071_result.png,UserShow/PerfectData/recognition_screenshots/plate_071_recognition.png,UserShow/PerfectData/processed_steps/PL071,浙T9N1ET,浙T9N1ET,浙,T,9N1ET,low_light,True,True,True,True,0.9712,"[240, 292, 520, 150]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL072,UserShow/PerfectData/raw_generated_plates/plate_072_鲁ALZCR4_low_light.png,UserShow/PerfectData/final_plate_images/plate_072_result.png,UserShow/PerfectData/recognition_screenshots/plate_072_recognition.png,UserShow/PerfectData/processed_steps/PL072,鲁ALZCR4,鲁ALZCR4,鲁,A,LZCR4,low_light,True,True,True,True,0.9644,"[240, 292, 520, 150]",47.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL073,UserShow/PerfectData/raw_generated_plates/plate_073_川HXAP2F_low_light.png,UserShow/PerfectData/final_plate_images/plate_073_result.png,UserShow/PerfectData/recognition_screenshots/plate_073_recognition.png,UserShow/PerfectData/processed_steps/PL073,川HXAP2F,川HXAP2F,川,H,XAP2F,low_light,True,True,True,True,0.9667,"[240, 292, 520, 150]",48.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL074,UserShow/PerfectData/raw_generated_plates/plate_074_渝Q8M0DS_low_light.png,UserShow/PerfectData/final_plate_images/plate_074_result.png,UserShow/PerfectData/recognition_screenshots/plate_074_recognition.png,UserShow/PerfectData/processed_steps/PL074,渝Q8M0DS,渝Q8M0DS,渝,Q,8M0DS,low_light,True,True,True,True,0.9323,"[240, 292, 520, 150]",64.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL075,UserShow/PerfectData/raw_generated_plates/plate_075_冀XKYBQ3_low_light.png,UserShow/PerfectData/final_plate_images/plate_075_result.png,UserShow/PerfectData/recognition_screenshots/plate_075_recognition.png,UserShow/PerfectData/processed_steps/PL075,冀XKYBQ3,冀XKYBQ3,冀,X,KYBQ3,low_light,True,True,True,True,0.9543,"[240, 292, 520, 150]",52.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL076,UserShow/PerfectData/raw_generated_plates/plate_076_豫EW9N1E_low_light.png,UserShow/PerfectData/final_plate_images/plate_076_result.png,UserShow/PerfectData/recognition_screenshots/plate_076_recognition.png,UserShow/PerfectData/processed_steps/PL076,豫EW9N1E,豫EW9N1E,豫,E,W9N1E,low_light,True,True,True,True,0.956,"[240, 292, 520, 150]",48.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL077,UserShow/PerfectData/raw_generated_plates/plate_077_鄂M7LZCR_low_light.png,UserShow/PerfectData/final_plate_images/plate_077_result.png,UserShow/PerfectData/recognition_screenshots/plate_077_recognition.png,UserShow/PerfectData/processed_steps/PL077,鄂M7LZCR,鄂M7LZCR,鄂,M,7LZCR,low_light,True,True,True,True,0.9618,"[240, 292, 520, 150]",47.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL078,UserShow/PerfectData/raw_generated_plates/plate_078_湘UJXAP2_low_light.png,UserShow/PerfectData/final_plate_images/plate_078_result.png,UserShow/PerfectData/recognition_screenshots/plate_078_recognition.png,UserShow/PerfectData/processed_steps/PL078,湘UJXAP2,湘UJXAP2,湘,U,JXAP2,low_light,True,True,True,True,0.9626,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL079,UserShow/PerfectData/raw_generated_plates/plate_079_皖BV8M0D_low_light.png,UserShow/PerfectData/final_plate_images/plate_079_result.png,UserShow/PerfectData/recognition_screenshots/plate_079_recognition.png,UserShow/PerfectData/processed_steps/PL079,皖BV8M0D,皖BV8M0D,皖,B,V8M0D,low_light,True,True,True,True,0.9357,"[240, 292, 520, 150]",45.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL080,UserShow/PerfectData/raw_generated_plates/plate_080_闽J6KYBQ_low_light.png,UserShow/PerfectData/final_plate_images/plate_080_result.png,UserShow/PerfectData/recognition_screenshots/plate_080_recognition.png,UserShow/PerfectData/processed_steps/PL080,闽J6KYBQ,闽J6KYBQ,闽,J,6KYBQ,low_light,True,True,True,True,0.9581,"[240, 292, 520, 150]",63.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL081,UserShow/PerfectData/raw_generated_plates/plate_081_赣RHW9N1_low_light.png,UserShow/PerfectData/final_plate_images/plate_081_result.png,UserShow/PerfectData/recognition_screenshots/plate_081_recognition.png,UserShow/PerfectData/processed_steps/PL081,赣RHW9N1,赣RHW9N1,赣,R,HW9N1,low_light,True,True,True,True,0.9535,"[240, 292, 520, 150]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL082,UserShow/PerfectData/raw_generated_plates/plate_082_桂YU7LZC_low_light.png,UserShow/PerfectData/final_plate_images/plate_082_result.png,UserShow/PerfectData/recognition_screenshots/plate_082_recognition.png,UserShow/PerfectData/processed_steps/PL082,桂YU7LZC,桂YU7LZC,桂,Y,U7LZC,low_light,True,True,True,True,0.9661,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL083,UserShow/PerfectData/raw_generated_plates/plate_083_琼F5JXAP_low_light.png,UserShow/PerfectData/final_plate_images/plate_083_result.png,UserShow/PerfectData/recognition_screenshots/plate_083_recognition.png,UserShow/PerfectData/processed_steps/PL083,琼F5JXAP,琼F5JXAP,琼,F,5JXAP,low_light,True,True,True,True,0.9634,"[240, 292, 520, 150]",47.2,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL084,UserShow/PerfectData/raw_generated_plates/plate_084_贵NGV8M0_low_light.png,UserShow/PerfectData/final_plate_images/plate_084_result.png,UserShow/PerfectData/recognition_screenshots/plate_084_recognition.png,UserShow/PerfectData/processed_steps/PL084,贵NGV8M0,贵NGV8M0,贵,N,GV8M0,low_light,True,True,True,True,0.9379,"[240, 292, 520, 150]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL085,UserShow/PerfectData/raw_generated_plates/plate_085_云VT6KYB_low_light.png,UserShow/PerfectData/final_plate_images/plate_085_result.png,UserShow/PerfectData/recognition_screenshots/plate_085_recognition.png,UserShow/PerfectData/processed_steps/PL085,云VT6KYB,云VT6KYB,云,V,T6KYB,low_light,True,True,True,True,0.9626,"[240, 292, 520, 150]",47.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""low_light"", ""style"": ""standard_blue""}"
PL086,UserShow/PerfectData/raw_generated_plates/plate_086_陕C4HW9N_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_086_result.png,UserShow/PerfectData/recognition_screenshots/plate_086_recognition.png,UserShow/PerfectData/processed_steps/PL086,陕C4HW9N,陕C4HW9N,陕,C,4HW9N,mild_blur,True,True,True,True,0.964,"[239, 291, 522, 151]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL087,UserShow/PerfectData/raw_generated_plates/plate_087_甘KFU7LZ_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_087_result.png,UserShow/PerfectData/recognition_screenshots/plate_087_recognition.png,UserShow/PerfectData/processed_steps/PL087,甘KFU7LZ,甘KFU7LZ,甘,K,FU7LZ,mild_blur,True,True,True,True,0.9804,"[239, 291, 522, 151]",48.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL088,UserShow/PerfectData/raw_generated_plates/plate_088_宁SS5JXA_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_088_result.png,UserShow/PerfectData/recognition_screenshots/plate_088_recognition.png,UserShow/PerfectData/processed_steps/PL088,宁SS5JXA,宁SS5JXA,宁,S,S5JXA,mild_blur,True,True,True,True,0.9741,"[239, 291, 522, 151]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL089,UserShow/PerfectData/raw_generated_plates/plate_089_京Z3GV8M_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_089_result.png,UserShow/PerfectData/recognition_screenshots/plate_089_recognition.png,UserShow/PerfectData/processed_steps/PL089,京Z3GV8M,京Z3GV8M,京,Z,3GV8M,mild_blur,True,True,True,True,0.9595,"[239, 291, 522, 151]",63.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL090,UserShow/PerfectData/raw_generated_plates/plate_090_沪GET6KY_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_090_result.png,UserShow/PerfectData/recognition_screenshots/plate_090_recognition.png,UserShow/PerfectData/processed_steps/PL090,沪GET6KY,沪GET6KY,沪,G,ET6KY,mild_blur,True,True,True,True,0.9786,"[239, 291, 522, 151]",63.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL091,UserShow/PerfectData/raw_generated_plates/plate_091_粤PR4HW9_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_091_result.png,UserShow/PerfectData/recognition_screenshots/plate_091_recognition.png,UserShow/PerfectData/processed_steps/PL091,粤PR4HW9,粤PR4HW9,粤,P,R4HW9,mild_blur,True,True,True,True,0.9627,"[239, 291, 522, 151]",50.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL092,UserShow/PerfectData/raw_generated_plates/plate_092_苏W2FU7L_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_092_result.png,UserShow/PerfectData/recognition_screenshots/plate_092_recognition.png,UserShow/PerfectData/processed_steps/PL092,苏W2FU7L,苏W2FU7L,苏,W,2FU7L,mild_blur,True,True,True,True,0.975,"[239, 291, 522, 151]",62.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL093,UserShow/PerfectData/raw_generated_plates/plate_093_浙DDS5JX_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_093_result.png,UserShow/PerfectData/recognition_screenshots/plate_093_recognition.png,UserShow/PerfectData/processed_steps/PL093,浙DDS5JX,浙DDS5JX,浙,D,DS5JX,mild_blur,True,True,True,True,0.9721,"[239, 291, 522, 151]",48.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL094,UserShow/PerfectData/raw_generated_plates/plate_094_鲁LQ3GV8_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_094_result.png,UserShow/PerfectData/recognition_screenshots/plate_094_recognition.png,UserShow/PerfectData/processed_steps/PL094,鲁LQ3GV8,鲁LQ3GV8,鲁,L,Q3GV8,mild_blur,True,True,True,True,0.9697,"[239, 291, 522, 151]",63.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL095,UserShow/PerfectData/raw_generated_plates/plate_095_川T1ET6K_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_095_result.png,UserShow/PerfectData/recognition_screenshots/plate_095_recognition.png,UserShow/PerfectData/processed_steps/PL095,川T1ET6K,川T1ET6K,川,T,1ET6K,mild_blur,True,True,True,True,0.9819,"[239, 291, 522, 151]",47.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL096,UserShow/PerfectData/raw_generated_plates/plate_096_渝ACR4HW_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_096_result.png,UserShow/PerfectData/recognition_screenshots/plate_096_recognition.png,UserShow/PerfectData/processed_steps/PL096,渝ACR4HW,渝ACR4HW,渝,A,CR4HW,mild_blur,True,True,True,True,0.9702,"[239, 291, 522, 151]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL097,UserShow/PerfectData/raw_generated_plates/plate_097_冀HP2FU7_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_097_result.png,UserShow/PerfectData/recognition_screenshots/plate_097_recognition.png,UserShow/PerfectData/processed_steps/PL097,冀HP2FU7,冀HP2FU7,冀,H,P2FU7,mild_blur,True,True,True,True,0.9754,"[239, 291, 522, 151]",47.5,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL098,UserShow/PerfectData/raw_generated_plates/plate_098_豫Q0DS5J_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_098_result.png,UserShow/PerfectData/recognition_screenshots/plate_098_recognition.png,UserShow/PerfectData/processed_steps/PL098,豫Q0DS5J,豫Q0DS5J,豫,Q,0DS5J,mild_blur,True,True,True,True,0.9695,"[239, 291, 522, 151]",51.4,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL099,UserShow/PerfectData/raw_generated_plates/plate_099_鄂XBQ3GV_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_099_result.png,UserShow/PerfectData/recognition_screenshots/plate_099_recognition.png,UserShow/PerfectData/processed_steps/PL099,鄂XBQ3GV,鄂XBQ3GV,鄂,X,BQ3GV,mild_blur,True,True,True,True,0.9688,"[239, 291, 522, 151]",54.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
PL100,UserShow/PerfectData/raw_generated_plates/plate_100_湘EN1ET6_mild_blur.png,UserShow/PerfectData/final_plate_images/plate_100_result.png,UserShow/PerfectData/recognition_screenshots/plate_100_recognition.png,UserShow/PerfectData/processed_steps/PL100,湘EN1ET6,湘EN1ET6,湘,E,N1ET6,mild_blur,True,True,True,True,0.9785,"[239, 291, 522, 151]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""mild_blur"", ""style"": ""standard_blue""}"
